id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13001609,"Luxury home in Beaches, Toronto",12516644,Kathryn,,The Beaches,43.66935302,-79.29391879,Entire home/apt,151,7,5,3/27/2017,0.49,4,260
13649981,Beaches Retreat,79256368,Carol,,The Beaches,43.67712865,-79.28987237,Entire home/apt,128,7,22,1/29/2017,2.19,1,17
14039371,Cozy First Floor Studio,13808734,Semone,,The Beaches,43.66932374,-79.30580474,Entire home/apt,99,5,2,4/2/2017,0.28,4,122
3890618,WholePrivate1bdr basement & ZenYard,9076531,Kate,,The Beaches,43.67241666,-79.28224538,Entire home/apt,82,7,21,4/10/2017,0.64,3,277
6290143,Cozy Apartment in Toronto Beaches,4333767,Lynne,,The Beaches,43.67326554,-79.28208559,Entire home/apt,85,1,55,5/22/2017,2.21,1,297
9734274,Cozy flat in The Beaches,7263149,Jordan,,The Beaches,43.6724607,-79.30234503,Entire home/apt,95,3,7,5/13/2017,0.67,1,119
6120294,Beautiful home in the Beaches,31754413,Candice,,The Beaches,43.66947837,-79.29568626,Entire home/apt,250,2,10,9/11/2016,0.42,1,0
11345032,Private Entry Beaches Apartment,17225208,Tera & Jamie,,The Beaches,43.67141081,-79.30613534,Entire home/apt,55,1,22,4/23/2017,1.76,2,314
2946342,Charming urban beach oasis 1-3 people,15041816,Roxana,,The Beaches,43.67413781,-79.29928053,Entire home/apt,139,5,17,9/3/2016,0.48,1,290
3890777,MODERN-LUXURIOUS 1Bed with backyard,9076531,Kate,,The Beaches,43.67299105,-79.28381237,Entire home/apt,99,7,25,5/29/2017,0.77,3,259
11123445,Honey House in the Beach,57791518,Ann,,The Beaches,43.67550206,-79.29855592,Entire home/apt,72,2,46,6/1/2017,2.92,1,74
14047925,"Beautiful, Bright, Big, Beach House",62976285,Sara,,The Beaches,43.67331853,-79.30607694,Entire home/apt,201,1,20,5/18/2017,1.92,2,120
14076345,Amazing 2BR Unit in the Heart of the Beaches!,84584477,Estee,,The Beaches,43.67231395,-79.28830902,Entire home/apt,119,3,16,4/12/2017,1.56,3,277
13101306,Beachside Apartment,68042,Hilary,,The Beaches,43.66663292,-79.30336955,Entire home/apt,141,1,7,5/31/2017,0.64,1,58
5025247,"1 Bedroom, Sleeps 4 - The Beaches",13808734,Semone,,The Beaches,43.66968822,-79.30552976,Entire home/apt,95,5,2,9/30/2016,0.07,4,71
9370341,Charming Beaches bungalow,44450561,Gallia,,The Beaches,43.67524316,-79.29885611,Entire home/apt,165,5,0,,,3,284
12761406,Bright funky space in the beaches.,29322840,Kate,,The Beaches,43.67494653,-79.30465681,Entire home/apt,100,3,16,12/23/2016,1.35,1,30
6115913,Prime BEACH House for PAN AM Games!,22420561,Laura,,The Beaches,43.66944971,-79.30476693,Entire home/apt,476,7,0,,,1,0
13065413,Spacious 1BDR+den 15m to downtown,62976285,Sara,,The Beaches,43.66828627,-79.30624785,Entire home/apt,74,1,23,5/27/2017,1.87,2,124
2207257,Bright Cheery Home Steps to Boardwalk,11259817,Pamela & Darryl Glover,,The Beaches,43.66863695,-79.30555456,Entire home/apt,150,5,20,5/12/2017,0.51,1,192
15476706,Lakeside Beach Residences - Bright 1 Bedroom Condo,9217653,Kim,,The Beaches,43.67028276,-79.30095883,Entire home/apt,115,6,4,5/29/2017,0.64,1,130
11168201,Bright and Beautiful One Bedroom Apartment,43198035,Katya,,The Beaches,43.66592293,-79.30432217,Entire home/apt,99,3,4,3/27/2017,0.4,2,333
13815465,Beautiful Beach Condo,72907902,Sandra,,The Beaches,43.66810541,-79.30570147,Entire home/apt,126,1,2,8/16/2016,0.2,1,0
13660679,Beaches 1 Bedroom Vintage Apartment,51602801,Courtney,,The Beaches,43.67179709,-79.28575459,Entire home/apt,68,3,11,12/22/2016,0.99,1,303
3880373,STUNNING 3BD -2BATHS -2 LEVEL HOME,9076531,Kate,,The Beaches,43.67329437,-79.28393283,Entire home/apt,289,7,37,11/1/2016,1.13,3,64
9434177,Bright One Bedroom steps from Beach,44612985,Shannon,,The Beaches,43.66966604,-79.29833164,Entire home/apt,45,14,1,4/5/2016,0.07,1,0
13384437,"Location and Charm, Upper Suite in Historic House",2707282,Bob,,The Beaches,43.67078873,-79.29590769,Entire home/apt,100,3,8,4/18/2017,0.71,2,39
2698178,Cozy Studio in The Beaches,13808734,Semone,,The Beaches,43.66857114,-79.30407206,Entire home/apt,100,5,18,2/2/2017,0.5,4,69
13847004,"Superclean, business group or family, ideal stay",7462394,Vickie,,The Beaches,43.66693417,-79.29924952,Entire home/apt,399,2,3,5/19/2017,0.34,3,215
13559244,Cosy 1-bedroom Apartment in the Beaches!,74305470,Cindy,,The Beaches,43.67390338,-79.30691293,Entire home/apt,88,2,24,5/27/2017,2.2,1,316
12761272,Cozy Room For 1  in Shared APT in Beach,621448,Tihana,,The Beaches,43.67790779,-79.30068635,Shared room,59,1,2,9/8/2016,0.22,2,140
15942759,Private bedroom in East Toronto,40998274,Sandra,,The Beaches,43.66821854,-79.31097689,Private room,45,2,2,12/2/2016,0.3,2,54
13657853,Comfy Cosy in the Beach,1941221,Jeanalexis,,The Beaches,43.67200834,-79.30762985,Private room,6500,2,0,,,3,362
5560972,Beach Basement Studio,1149835,Maggie,,The Beaches,43.67032215,-79.30979237,Entire home/apt,69,4,53,5/30/2017,2.04,1,18
1369091,New Elegant 1 Bedroom with Lots of Character,7424459,Tonia,,The Beaches,43.66912278,-79.30827119,Entire home/apt,85,2,9,5/20/2017,1.64,1,257
6632283,"Bright, adorable, private apt",34715925,Annie,,The Beaches,43.66385084,-79.31947608,Entire home/apt,95,1,57,5/15/2017,2.4,1,310
7263158,Beaches/Queen Street Apartment,33748222,Victoria,,The Beaches,43.66768212,-79.30783355,Entire home/apt,80,4,35,5/15/2017,1.73,1,133
8168657,Peace and Quiet in the Beaches,11652227,Clive,,The Beaches,43.66826049,-79.30792362,Entire home/apt,126,4,10,10/29/2016,0.48,2,316
14819761,Modern Beachclub Condo,45857093,Rebecca,,The Beaches,43.67353792,-79.30762927,Entire home/apt,130,4,1,9/16/2016,0.11,1,48
15127295,Bright Beach Toronto Home,50778946,Dee,,The Beaches,43.66373861,-79.30971933,Entire home/apt,380,3,2,11/21/2016,0.26,2,0
14732164,New luxury home in beach Toronto!,64968110,Karl,,The Beaches,43.66575061,-79.31033838,Entire home/apt,695,2,3,5/28/2017,0.33,1,165
14826260,Beaches Home,86610598,Tara,,The Beaches,43.6713479,-79.31015425,Entire home/apt,195,2,2,12/26/2016,0.24,1,20
