room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16069455,92986133,Shared room,,Taylor-Massey (61),0,0.0,1,1.0,18.0,,43.695187,-79.290583,2017-03-12 20:49:22.593958
16069552,92986133,Shared room,,Oakridge (121),0,0.0,1,1.0,18.0,,43.696489,-79.290372,2017-03-12 20:49:22.591755
11511082,57206085,Shared room,,Annex (95),8,4.0,2,1.0,38.0,,43.667767,-79.405139,2017-03-12 20:49:20.924087
13514885,25594306,Shared room,,Wychwood (94),0,0.0,1,1.0,34.0,,43.680062,-79.433578,2017-03-12 20:49:20.921359
10431136,46069619,Shared room,,Caledonia-Fairbank (109),2,0.0,1,1.0,20.0,,43.68517,-79.44924,2017-03-12 20:49:20.919104
3849396,19845741,Shared room,,Waterfront Communities-The Island (77),3,4.5,1,1.0,38.0,,43.641152,-79.398062,2017-03-12 20:49:20.916152
5946887,8502051,Shared room,,University (79),31,4.5,4,1.0,37.0,,43.666782,-79.401739,2017-03-12 20:49:20.909460
12116444,45693789,Shared room,,Kensington-Chinatown (78),0,0.0,1,1.0,34.0,,43.654758,-79.402673,2017-03-12 20:49:20.906374
12826718,69987979,Shared room,,Bay Street Corridor (76),6,4.5,1,1.0,31.0,,43.668695,-79.389327,2017-03-12 20:49:20.902931
16634374,12767398,Shared room,,Dovercourt-Wallace Emerson-Junction (93),0,0.0,3,1.0,23.0,,43.66535,-79.446292,2017-03-12 20:49:20.896716
885347,4692027,Shared room,,Mimico (includes Humber Bay Shores) (17),7,4.5,3,1.0,10.0,,43.613357,-79.487409,2017-03-12 20:49:20.890239
14723913,8502051,Shared room,,University (79),3,3.5,2,1.0,34.0,,43.665934,-79.400301,2017-03-12 20:49:20.885575
12825217,46069619,Shared room,,Caledonia-Fairbank (109),2,0.0,1,1.0,20.0,,43.685544,-79.448702,2017-03-12 20:49:20.883014
17462198,115370593,Shared room,,Dovercourt-Wallace Emerson-Junction (93),0,0.0,1,1.0,14.0,,43.666317,-79.447244,2017-03-12 20:49:20.879657
144293,699421,Shared room,,Weston (113),4,4.5,1,1.0,20.0,,43.69958,-79.516388,2017-03-12 20:49:20.876685
6829386,1935240,Shared room,,Dovercourt-Wallace Emerson-Junction (93),6,4.5,2,1.0,38.0,,43.663654,-79.439195,2017-03-12 20:49:20.874215
11220512,50836566,Shared room,,Parkwoods-Donalda (45),3,5.0,3,1.0,22.0,,43.764264,-79.343512,2017-03-12 20:49:19.200511
5173230,8502051,Shared room,,University (79),31,4.5,4,1.0,34.0,,43.66609,-79.400077,2017-03-12 20:49:19.196220
10430600,46069619,Shared room,,Caledonia-Fairbank (109),9,4.0,1,1.0,20.0,,43.685298,-79.447214,2017-03-12 20:49:19.193609
7109921,13829706,Shared room,,North St.James Town (74),0,0.0,2,1.0,27.0,,43.670084,-79.370398,2017-03-12 20:49:19.191241
14853143,92986133,Shared room,,Taylor-Massey (61),2,0.0,1,1.0,18.0,,43.696507,-79.291872,2017-03-12 20:49:19.188258
9794244,46069619,Shared room,,Caledonia-Fairbank (109),10,4.0,1,1.0,20.0,,43.685754,-79.448628,2017-03-12 20:49:19.184062
16069655,92986133,Shared room,,Taylor-Massey (61),1,0.0,1,1.0,18.0,,43.696407,-79.291737,2017-03-12 20:49:19.181797
17524245,45237656,Shared room,,Taylor-Massey (61),0,0.0,8,1.0,20.0,,43.692096,-79.302759,2017-03-12 20:49:19.179825
16793539,60997783,Shared room,,Niagara (82),0,0.0,1,1.0,30.0,,43.636992,-79.402599,2017-03-12 20:49:19.177744
10890789,44387155,Shared room,,Flemingdon Park (44),0,0.0,1,1.0,16.0,,43.711758,-79.329179,2017-03-12 20:49:19.175691
17576913,45237656,Shared room,,Taylor-Massey (61),0,0.0,8,1.0,20.0,,43.692134,-79.303101,2017-03-12 20:49:19.173697
